Query ID  Percent Positive Matches
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  12565/15726 (80%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  12565/15726 (80%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  12563/15726 (80%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  12564/15727 (80%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  11912/14772 (81%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  11846/14877 (80%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  11810/14879 (79%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  11810/14879 (79%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  729/984 (74%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  1235/1735 (71%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  1235/1735 (71%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  927/1288 (72%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  561/773 (73%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  561/773 (73%)
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete  106/135 (79%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  31243/31249 (99%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  31239/31249 (99%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  12561/15722 (80%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  11517/14600 (79%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  11215/14469 (78%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  11165/14471 (77%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  11165/14471 (77%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  985/1392 (71%)
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  54/59 (92%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  31243/31249 (99%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  31243/31249 (99%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  31235/31249 (99%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  12559/15722 (80%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  11515/14600 (79%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  11215/14470 (78%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  11164/14472 (77%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  11164/14472 (77%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  985/1392 (71%)
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete  54/59 (92%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  31239/31249 (99%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  31239/31249 (99%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  31235/31249 (99%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  12560/15723 (80%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  11516/14600 (79%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  11214/14469 (78%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  11164/14471 (77%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  11164/14471 (77%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  985/1392 (71%)
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete  54/59 (92%)
KM349742.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete  31243/31249 (99%)
